Game_ID,Game_Name,Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Complexity,Complexity_Raters,Average_Play_Time,Owner_Number,Trader_Number,HighInterest_Number,Interest_Number,Rater_Number,Comment_Number,Average_Rating,Adjusted_Average_Complexity,Play_Time_Category
9048,Age of Industry,2010,BaseGame,12 to under 18,2,5,3.3636,231,120,2697,71,293,796,2323,751,7.51948,2.752337488555532,Long_Games
40086,Going The Distance,1998,BaseGame,under 5,2,8,2.0,3,60,3,0,1,4,4,2,7.5,1.711317698429467,Average_Games
12545,Inside,2007,BaseGame,5 to under 12,2,2,2.0,12,10,187,8,20,49,137,46,6.48832,1.711317698429467,Short_Games
62639,New Bedford,2016,BaseGame,12 to under 18,1,4,2.4,5,75,62,1,36,184,28,56,7.66071,1.9958447778012536,Long_Games
26419,Sekigahara fierce fight,1988,BaseGame,12 to under 18,1,2,3.0,2,120,4,0,1,3,3,1,7.5,2.422635396858934,Long_Games
59747,The Joker Fun House Game,2012,BaseGame,under 5,2,5,1.0,1,10,21,0,0,2,10,3,6.06,1.0,Short_Games
9611,Fjords,2005,BaseGame,5 to under 12,2,2,1.7218,363,30,2788,98,239,686,2489,995,6.70125,1.5861863511514895,Median_Games
15660,Wiede 1683,1992,BaseGame,under 5,2,2,3.1,10,180,73,3,4,6,46,10,6.19565,2.493767166701881,Very_Long_Games
16429,HellRail,1998,BaseGame,12 to under 18,2,4,2.125,8,30,161,9,3,7,67,18,5.68955,1.8002324107331504,Median_Games
42601,The Bob Evans Restaurant Family Game!,2005,BaseGame,5 to under 12,2,8,1.0,1,2,4,0,0,0,2,2,1.05,1.0,Mini_Games
23167,A Jumping Frog Game,2000,BaseGame,5 to under 12,2,2,1.0,1,5,9,1,1,0,6,4,5.5,1.0,Very_Short_Games
8043,Wings of War: The Dawn of World War II,2007,BaseGame,12 to under 18,2,6,1.9552,134,45,1992,116,62,198,1131,334,6.91004,1.706990633143179,Median_Games
65555,Pot Farm: The Board Game,2015,BaseGame,18 to under 21,2,4,3.0,1,45,12,0,1,4,4,0,8.5,2.422635396858934,Median_Games
21087,National Liberation Front,1983,BaseGame,12 to under 18,2,2,2.6667,3,10,31,1,6,11,7,6,6.35714,2.1855532079723927,Short_Games
18889,The Lord of the Rings: The Fellowship of the Ring,2002,BaseGame,5 to under 12,2,6,1.44,25,45,384,59,3,13,196,96,3.20311,1.3129797873089653,Median_Games
39445,Palazzo,2003,BaseGame,under 5,2,4,2.0,1,30,7,1,0,0,5,1,6.06,1.711317698429467,Median_Games
12133,Ilium,2008,BaseGame,5 to under 12,2,4,2.1316,38,35,581,64,23,62,303,138,6.16651,1.8049271075427848,Median_Games
28754,Alcatraz Escape,2000,BaseGame,5 to under 12,2,2,1.0,3,20,7,0,0,1,5,3,6.3,1.0,Median_Games
17947,Battle for Basra,1991,BaseGame,5 to under 12,2,2,1.5385,13,30,184,17,4,4,40,39,4.81,1.3830445806042675,Median_Games
23691,Wall Street Spin,2004,BaseGame,5 to under 12,2,6,1.5,2,60,24,6,0,0,2,2,5.5,1.3556588492147337,Average_Games
56282,These Brave Fellows,2013,BaseGame,12 to under 18,1,2,2.5,4,180,111,3,8,9,23,22,6.71304,2.0669765476442,Very_Long_Games
7812,Revolution!,2009,BaseGame,5 to under 12,3,4,2.0463,216,60,3372,134,209,796,2923,813,6.75367,1.787486442707233,Average_Games
13197,Battle of the Bands: Encore Edition,2004,BaseGame,12 to under 18,2,4,1.6129,31,30,269,19,7,18,157,66,6.36432,1.4359666173674202,Median_Games
11862,Zoff in Buffalo,1998,BaseGame,12 to under 18,2,5,2.0385,26,45,247,9,31,60,237,87,6.37637,1.7387034298190014,Median_Games
12686,Riddle of the Ring,1982,BaseGame,12 to under 18,2,8,2.1538,13,120,268,11,29,45,117,61,6.67786,1.820718360447919,Long_Games
26377,Eierlei,2004,BaseGame,under 5,2,4,1.0,1,15,18,1,0,0,9,6,5.11111,1.0,Short_Games
19539,The Whole Brain Game,2001,BaseGame,5 to under 12,2,2,2.0,2,60,62,7,1,3,20,19,5.225,1.711317698429467,Average_Games
62272,Japanese: The Game  Anime Expansion,2014,PremiumGame,12 to under 18,1,6,1.5,2,10,37,0,0,2,3,2,6.83333,1.3556588492147337,Short_Games
62859,Sons of Anarchy: Men of Mayhem  Grim Bastards,2014,PremiumGame,12 to under 18,3,5,2.0,2,90,218,3,7,24,33,8,7.4697,1.711317698429467,Long_Games
9266,"Hey, That's My Fish!",2003,BaseGame,5 to under 12,2,4,1.4698,1356,20,14836,355,308,1293,12807,3761,6.82349,1.5619085851116274,Median_Games
54111,High and Low Poker,2011,BaseGame,12 to under 18,2,10,1.0,1,45,2,0,0,4,2,1,6.75,1.0,Median_Games
9565,Timeline: Diversity,2012,BaseGame,5 to under 12,2,8,1.0769,117,15,2985,28,91,235,1424,258,6.96606,1.0622846679343616,Short_Games
14632,Scalawag!,2014,BaseGame,12 to under 18,3,8,1.8,5,40,183,19,6,36,57,14,6.36123,1.5690541587435731,Median_Games
13014,Keep Up The Fire!,2011,BaseGame,5 to under 12,1,2,1.7692,13,30,164,5,15,47,63,35,7.37381,1.547145573631946,Median_Games
18611,Genegrafter,2012,BaseGame,12 to under 18,2,4,1.5,6,10,184,37,1,17,49,33,3.99592,1.3556588492147337,Short_Games
35209,Last Night on Earth: Growing Hunger,2008,PremiumGame,12 to under 18,2,6,2.5615,130,60,4739,113,125,397,1904,493,7.72398,2.146802591731812,Average_Games
20806,Norseman: Viking Kingdoms of the North Sea,1985,BaseGame,12 to under 18,2,6,2.5,2,180,57,2,11,15,11,8,5.40909,2.0669765476442,Very_Long_Games
14656,Suzerain,1993,BaseGame,12 to under 18,2,6,2.5455,11,60,304,31,4,17,101,36,6.02624,2.0993415029227407,Average_Games
30070,Larry Burkett's Money Matters,1993,BaseGame,5 to under 12,2,6,1.0,1,90,16,5,0,0,5,4,3.4,1.0,Long_Games
63775,Harbour: Launch Promo Characters,2015,PremiumGame,5 to under 12,2,4,3.0,1,60,437,12,13,13,33,18,7.15227,2.422635396858934,Average_Games
55903,Karolinchen,2012,BaseGame,5 to under 12,2,6,1.0,3,20,17,1,0,4,10,4,4.55,1.0,Median_Games
40258,Domina 4,2010,BaseGame,under 5,2,2,1.5,2,15,5,0,0,5,8,4,5.0625,1.3556588492147337,Short_Games
29735,Patriot Act: The Home Version,2006,BaseGame,under 5,2,6,1.0,1,45,5,0,1,0,2,3,5.0,1.0,Median_Games
63495,The Visitors,2014,BaseGame,5 to under 12,1,4,1.5,2,30,3,0,1,3,3,3,6.0,1.3556588492147337,Median_Games
18871,Burn in Hell,2004,BaseGame,12 to under 18,2,5,1.7692,39,90,648,63,8,35,339,143,4.45855,1.547145573631946,Long_Games
14183,Queen of the Cupcakes,2005,BaseGame,5 to under 12,2,5,1.3333,39,20,382,46,7,23,213,113,5.83784,1.237082188886541,Median_Games
40906,Prophecy of War,1999,BaseGame,12 to under 18,2,6,1.0,1,120,4,0,0,0,1,0,7.0,1.0,Long_Games
39945,Deukalion: Theseus  Conqueror of the Minotaur,2008,PremiumGame,under 5,2,4,2.0,3,60,53,11,1,6,7,4,6.14286,1.711317698429467,Average_Games
21342,Noch mehr rger,2001,PremiumGame,5 to under 12,2,6,1.25,4,30,110,4,0,1,40,9,6.325,1.1778294246073666,Median_Games
18395,ZombieTown,2007,BaseGame,12 to under 18,3,6,2.1724,58,60,676,64,18,91,381,161,5.42103,1.8339488696387067,Average_Games
18825,Warriors,2004,BaseGame,5 to under 12,2,4,1.3958,48,30,1278,157,7,28,514,226,5.02289,1.2815395450383829,Median_Games
29277,Dien Bien Phu ATS Upgrade: French Indochina 1954,2008,BaseGame,12 to under 18,2,2,4.0,1,180,55,2,6,8,16,10,8.28125,3.1339530952884007,Very_Long_Games
60518,Color Clash,2013,BaseGame,5 to under 12,1,8,1.0,1,10,20,0,0,5,4,4,6.175,1.0,Short_Games
60633,Tornado!,2013,BaseGame,5 to under 12,2,2,1.0,1,10,7,1,0,1,3,1,7.16667,1.0,Short_Games
21804,Bible Mad Gab,2000,BaseGame,5 to under 12,2,12,1.3333,3,45,36,2,1,3,12,3,5.58333,1.237082188886541,Median_Games
42954,"Hook, Line, and Sinker",2011,BaseGame,12 to under 18,3,8,1.0,1,60,1,0,3,9,2,1,5.5,1.0,Average_Games
69433,Southern Rails,2015,BaseGame,under 5,3,5,2.6667,3,60,55,1,1,3,15,8,6.41667,2.1855532079723927,Average_Games
22787,Cinmatographe,1995,BaseGame,12 to under 18,2,6,1.5,2,120,15,2,1,0,6,4,6.41667,1.3556588492147337,Long_Games
16586,Geistertreppe: Das Kartenspiel,2010,BaseGame,5 to under 12,2,5,1.1667,6,10,111,4,0,6,48,17,5.69167,1.118576660328192,Short_Games
43351,Deeku,2008,BaseGame,5 to under 12,3,4,3.0,2,90,17,1,8,17,12,9,6.45833,2.422635396858934,Long_Games
25336,Scavengers Gold,1988,BaseGame,5 to under 12,2,2,1.0,3,20,49,3,1,4,20,9,5.45,1.0,Median_Games
41944,Baby Chicks,2008,BaseGame,under 5,2,4,1.0,2,10,4,0,0,0,2,1,4.5,1.0,Short_Games
21710,Paintcheck: The Paintball Game,2003,BaseGame,12 to under 18,2,2,4.2,5,120,73,10,5,7,18,10,5.37778,3.276216634974294,Long_Games
10327,Junta: Viva el Presidente!,2010,BaseGame,5 to under 12,3,5,1.9048,63,60,1325,65,82,283,977,257,6.54895,1.657015282766392,Average_Games
64838,The Majority: Complete Edition,2015,BaseGame,12 to under 18,2,4,2.0,5,45,89,3,5,28,27,12,7.42222,1.711317698429467,Median_Games
60061,Seas of Chaos,2014,BaseGame,12 to under 18,2,6,3.0,1,90,2,0,0,1,2,1,8.945,2.422635396858934,Long_Games
17174,SS Panzer: Bloodbath at Kursk,1996,BaseGame,12 to under 18,1,2,2.7778,9,180,269,17,4,5,52,36,5.56154,2.2645806042679064,Very_Long_Games
65713,Eastwood Deadliest Gunslingers,2015,BaseGame,5 to under 12,2,8,1.0,1,15,10,0,0,2,2,1,4.0,1.0,Short_Games
17611,Virus & Co,2002,BaseGame,5 to under 12,3,6,1.6667,9,45,160,8,0,5,82,20,5.2939,1.4742355095429256,Median_Games
42437,Battleground Fantasy Warfare: Orc Army,2005,PremiumGame,12 to under 18,2,2,2.6667,3,60,314,23,9,9,50,20,7.422,2.1855532079723927,Average_Games
37092,Der gestiefelte Kater,1994,BaseGame,under 5,2,4,1.0,1,20,7,1,0,0,1,0,5.0,1.0,Median_Games
22147,Bumper to Bumper: Real Life Stock Car Racing,1991,BaseGame,under 5,2,20,2.0,1,60,12,2,5,3,6,4,5.0,1.711317698429467,Average_Games
8998,Rococo,2013,BaseGame,12 to under 18,2,5,3.0599,217,120,3467,43,423,1087,2572,577,7.59907,2.52989365448271,Long_Games
19708,Drakon Expansion 1,2002,PremiumGame,5 to under 12,2,6,2.0769,13,30,328,23,7,15,169,73,6.68343,1.766018029438693,Median_Games
18271,Neopets TCG,2003,BaseGame,5 to under 12,2,2,1.4,5,20,103,17,4,5,65,31,4.93077,1.284527079371787,Median_Games
8369,Dungeon Command: Blood of Gruumsh,2013,BaseGame,12 to under 18,2,2,2.5,24,90,1253,23,90,197,350,88,7.66077,2.0669765476442,Long_Games
26609,Europe 1483,2002,PremiumGame,12 to under 18,2,28,3.0,1,120,23,0,0,2,4,3,3.75,2.422635396858934,Long_Games
43897,Holydeck,2007,BaseGame,5 to under 12,2,6,1.0,1,30,1,0,1,1,1,1,8.0,1.0,Median_Games
22499,Goju,1985,BaseGame,5 to under 12,2,2,3.0,1,30,40,4,2,4,5,10,6.2,2.422635396858934,Median_Games
22814,Visual Brain Storms,1995,BaseGame,5 to under 12,1,8,2.0,4,45,88,8,0,3,20,12,5.2875,1.711317698429467,Median_Games
21262,Rush N' Crush,2003,BaseGame,5 to under 12,2,6,2.0,2,60,44,0,2,23,13,19,6.65385,1.711317698429467,Average_Games
12681,8th Army: Operation Crusader,1984,BaseGame,12 to under 18,2,2,2.8824,17,120,255,10,6,18,93,45,6.86914,2.3389844355236287,Long_Games
13543,Lost Battles:  Reconstructing the Great Clashes of the Ancient World,2007,BaseGame,under 5,2,2,3.375,8,120,114,1,4,18,34,25,8.01471,2.6893795337699835,Long_Games
9058,Lost Cities,1999,BaseGame,5 to under 12,2,2,1.5246,2495,30,26511,504,450,2310,21839,6316,7.122,1.8133896753292484,Median_Games
