Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Rating,Adjusted_Average_Complexity,Play_Time_Category,Engagement_Metrics
2010,BaseGame,12 to under 18,2,5,7.51948,2.752337488555532,Long_Games,1155.1666666666667
1998,BaseGame,under 5,2,8,7.5,1.711317698429467,Average_Games,2.3333333333333335
2007,BaseGame,5 to under 12,2,2,6.48832,1.711317698429467,Short_Games,74.5
2016,BaseGame,12 to under 18,1,4,7.66071,1.9958447778012536,Long_Games,61.166666666666664
1988,BaseGame,12 to under 18,1,2,7.5,2.422635396858934,Long_Games,2.0
2012,BaseGame,under 5,2,5,6.06,1.0,Short_Games,6.0
2005,BaseGame,5 to under 12,2,2,6.70125,1.5861863511514895,Median_Games,1215.8333333333333
1992,BaseGame,under 5,2,2,6.19565,2.493767166701881,Very_Long_Games,23.666666666666668
1998,BaseGame,12 to under 18,2,4,5.68955,1.8002324107331504,Median_Games,44.166666666666664
2005,BaseGame,5 to under 12,2,8,1.05,1.0,Mini_Games,1.3333333333333333
2000,BaseGame,5 to under 12,2,2,5.5,1.0,Very_Short_Games,3.5
2007,BaseGame,12 to under 18,2,6,6.91004,1.706990633143179,Median_Games,638.8333333333334
2015,BaseGame,18 to under 21,2,4,8.5,2.422635396858934,Median_Games,3.5
1983,BaseGame,12 to under 18,2,2,6.35714,2.1855532079723927,Short_Games,10.333333333333334
2002,BaseGame,5 to under 12,2,6,3.20311,1.3129797873089653,Median_Games,125.16666666666667
2003,BaseGame,under 5,2,4,6.06,1.711317698429467,Median_Games,2.3333333333333335
2008,BaseGame,5 to under 12,2,4,6.16651,1.8049271075427848,Median_Games,195.16666666666666
2000,BaseGame,5 to under 12,2,2,6.3,1.0,Median_Games,2.6666666666666665
1991,BaseGame,5 to under 12,2,2,4.81,1.3830445806042675,Median_Games,48.0
2004,BaseGame,5 to under 12,2,6,5.5,1.3556588492147337,Average_Games,5.666666666666667
2013,BaseGame,12 to under 18,1,2,6.71304,2.0669765476442,Very_Long_Games,29.333333333333332
2009,BaseGame,5 to under 12,3,4,6.75367,1.787486442707233,Average_Games,1374.5
2004,BaseGame,12 to under 18,2,4,6.36432,1.4359666173674202,Median_Games,89.33333333333333
1998,BaseGame,12 to under 18,2,5,6.37637,1.7387034298190014,Median_Games,111.83333333333333
1982,BaseGame,12 to under 18,2,8,6.67786,1.820718360447919,Long_Games,88.5
2004,BaseGame,under 5,2,4,5.11111,1.0,Short_Games,5.666666666666667
2001,BaseGame,5 to under 12,2,2,5.225,1.711317698429467,Average_Games,18.666666666666668
2014,PremiumGame,12 to under 18,1,6,6.83333,1.3556588492147337,Short_Games,7.333333333333333
2014,PremiumGame,12 to under 18,3,5,7.4697,1.711317698429467,Long_Games,48.833333333333336
2003,BaseGame,5 to under 12,2,4,6.82349,1.5619085851116274,Median_Games,5560.0
2011,BaseGame,12 to under 18,2,10,6.75,1.0,Median_Games,1.5
2012,BaseGame,5 to under 12,2,8,6.96606,1.0622846679343616,Short_Games,836.8333333333334
2014,BaseGame,12 to under 18,3,8,6.36123,1.5690541587435731,Median_Games,52.5
2011,BaseGame,5 to under 12,1,2,7.37381,1.547145573631946,Median_Games,54.833333333333336
2012,BaseGame,12 to under 18,2,4,3.99592,1.3556588492147337,Short_Games,53.5
2008,PremiumGame,12 to under 18,2,6,7.72398,2.146802591731812,Average_Games,1295.1666666666667
1985,BaseGame,12 to under 18,2,6,5.40909,2.0669765476442,Very_Long_Games,17.333333333333332
1993,BaseGame,12 to under 18,2,6,6.02624,2.0993415029227407,Average_Games,82.16666666666667
1993,BaseGame,5 to under 12,2,6,3.4,1.0,Long_Games,5.0
2015,PremiumGame,5 to under 12,2,4,7.15227,2.422635396858934,Average_Games,87.66666666666667
2012,BaseGame,5 to under 12,2,6,4.55,1.0,Median_Games,6.0
2010,BaseGame,under 5,2,2,5.0625,1.3556588492147337,Short_Games,3.6666666666666665
2006,BaseGame,under 5,2,6,5.0,1.0,Median_Games,1.8333333333333333
2014,BaseGame,5 to under 12,1,4,6.0,1.3556588492147337,Median_Games,2.1666666666666665
2004,BaseGame,12 to under 18,2,5,4.45855,1.547145573631946,Long_Games,206.0
2005,BaseGame,5 to under 12,2,5,5.83784,1.237082188886541,Median_Games,130.66666666666666
1999,BaseGame,12 to under 18,2,6,7.0,1.0,Long_Games,0.8333333333333334
2008,PremiumGame,under 5,2,4,6.14286,1.711317698429467,Average_Games,13.666666666666666
2001,PremiumGame,5 to under 12,2,6,6.325,1.1778294246073666,Median_Games,27.333333333333332
2007,BaseGame,12 to under 18,3,6,5.42103,1.8339488696387067,Average_Games,231.83333333333334
2004,BaseGame,5 to under 12,2,4,5.02289,1.2815395450383829,Median_Games,368.3333333333333
2008,BaseGame,12 to under 18,2,2,8.28125,3.1339530952884007,Very_Long_Games,16.166666666666668
2013,BaseGame,5 to under 12,1,8,6.175,1.0,Short_Games,5.5
2013,BaseGame,5 to under 12,2,2,7.16667,1.0,Short_Games,2.1666666666666665
2000,BaseGame,5 to under 12,2,12,5.58333,1.237082188886541,Median_Games,9.5
2011,BaseGame,12 to under 18,3,8,5.5,1.0,Average_Games,2.6666666666666665
2015,BaseGame,under 5,3,5,6.41667,2.1855532079723927,Average_Games,13.833333333333334
1995,BaseGame,12 to under 18,2,6,6.41667,1.3556588492147337,Long_Games,4.666666666666667
2010,BaseGame,5 to under 12,2,5,5.69167,1.118576660328192,Short_Games,31.0
2008,BaseGame,5 to under 12,3,4,6.45833,2.422635396858934,Long_Games,10.666666666666666
1988,BaseGame,5 to under 12,2,2,5.45,1.0,Median_Games,14.333333333333334
2008,BaseGame,under 5,2,4,4.5,1.0,Short_Games,1.1666666666666667
2003,BaseGame,12 to under 18,2,2,5.37778,3.276216634974294,Long_Games,20.5
2010,BaseGame,5 to under 12,3,5,6.54895,1.657015282766392,Average_Games,498.1666666666667
2015,BaseGame,12 to under 18,2,4,7.42222,1.711317698429467,Median_Games,27.333333333333332
2014,BaseGame,12 to under 18,2,6,8.945,2.422635396858934,Long_Games,1.0
1996,BaseGame,12 to under 18,1,2,5.56154,2.2645806042679064,Very_Long_Games,63.833333333333336
2015,BaseGame,5 to under 12,2,8,4.0,1.0,Short_Games,2.5
2002,BaseGame,5 to under 12,3,6,5.2939,1.4742355095429256,Median_Games,45.833333333333336
2005,PremiumGame,12 to under 18,2,2,7.422,2.1855532079723927,Average_Games,70.83333333333333
1994,BaseGame,under 5,2,4,5.0,1.0,Median_Games,1.5
1991,BaseGame,under 5,2,20,5.0,1.711317698429467,Average_Games,5.333333333333333
2013,BaseGame,12 to under 18,2,5,7.59907,2.52989365448271,Long_Games,1361.5
2002,PremiumGame,5 to under 12,2,6,6.68343,1.766018029438693,Median_Games,102.5
2003,BaseGame,5 to under 12,2,2,4.93077,1.284527079371787,Median_Games,37.5
